ID,school_name,class,region,wins,losses,ties,games,AA_wins,A_wins,B_wins,C_wins,D_wins,PI,TI
1,Buffalo Bills,A,AFCE,,,,,,,,,,,
2,Miami Dolphins,A,AFCE,,,,,,,,,,,
3,New England Patriots,A,AFCE,,,,,,,,,,,
4,New York Jets,A,AFCE,,,,,,,,,,,
5,Baltimore Ravens,A,AFCN,,,,,,,,,,,
6,Cincinnati Bengals,A,AFCN,,,,,,,,,,,
7,Cleveland Browns,A,AFCN,,,,,,,,,,,
8,Pittsburgh Steelers,A,AFCN,,,,,,,,,,,
9,Houston Texans,A,AFCS,,,,,,,,,,,
10,Indianapolis Colts,A,AFCS,,,,,,,,,,,
11,Jacksonville Jaguars,A,AFCS,,,,,,,,,,,
12,Tennessee Titans,A,AFCS,,,,,,,,,,,
13,Denver Broncos,A,AFCW,,,,,,,,,,,
14,Kansas City Chiefs,A,AFCW,,,,,,,,,,,
15,Las Vegas Raiders,A,AFCW,,,,,,,,,,,
16,Los Angeles Chargers,A,AFCW,,,,,,,,,,,
17,Dallas Cowboys,A,NFCE,,,,,,,,,,,
18,New York Giants,A,NFCE,,,,,,,,,,,
19,Philadelphia Eagles,A,NFCE,,,,,,,,,,,
20,Washington Commanders,A,NFCE,,,,,,,,,,,
21,Chicago Bears,A,NFCN,,,,,,,,,,,
22,Detroit Lions,A,NFCN,,,,,,,,,,,
23,Green Bay Packers,A,NFCN,,,,,,,,,,,
24,Minnesota Vikings,A,NFCN,,,,,,,,,,,
25,Atlanta Falcons,A,NFCS,,,,,,,,,,,
26,Carolina Panthers,A,NFCS,,,,,,,,,,,
27,New Orleans Saints,A,NFCS,,,,,,,,,,,
28,Tampa Bay Buccaneers,A,NFCS,,,,,,,,,,,
29,Arizona Cardinals,A,NFCW,,,,,,,,,,,
30,Los Angeles Rams,A,NFCW,,,,,,,,,,,
31,San Francisco 49ers,A,NFCW,,,,,,,,,,,
32,Seattle Seahawks,A,NFCW,,,,,,,,,,,